ID,visitor_id,page_id,date
65659,407323,181947,2025-03-24 19:27:16
65660,407323,181939,2025-03-24 19:26:35
65661,407323,181948,2025-03-24 19:27:04
65662,407323,181967,2025-03-24 19:27:22
65663,407323,181941,2025-03-24 19:27:22
65664,407324,181940,2025-03-24 19:28:22
65665,407325,181934,2025-03-24 19:28:43
65666,407325,181940,2025-03-24 19:30:39
65667,407326,181934,2025-03-24 19:39:32
65668,407327,181947,2025-03-24 19:46:18
65669,407327,181954,2025-03-24 19:46:24
65670,407328,181934,2025-03-24 19:50:10
65671,407328,181940,2025-03-24 19:50:11
65672,407328,181935,2025-03-24 19:50:32
65673,407329,181934,2025-03-24 19:52:49
65674,407330,181973,2025-03-24 19:53:14
65675,407331,181934,2025-03-24 19:53:59
65676,407332,181934,2025-03-24 19:56:43
65677,407332,181940,2025-03-24 19:57:07
65678,407333,181936,2025-03-24 19:58:00
65679,407332,181939,2025-03-24 19:58:24
65680,407334,181934,2025-03-24 19:59:20
65681,407332,181941,2025-03-24 19:59:25
65682,407333,181954,2025-03-24 20:24:46
65683,407332,181935,2025-03-24 19:59:59
65684,407335,181940,2025-03-24 20:00:02
65685,407336,181934,2025-03-24 20:00:22
65686,407337,181934,2025-03-24 20:00:26
65687,407337,181940,2025-03-24 20:00:36
65688,407338,181940,2025-03-24 20:00:39
65689,407339,181940,2025-03-24 20:01:23
65690,407333,181947,2025-03-24 20:01:30
65691,407336,181941,2025-03-24 20:01:44
65692,407340,181934,2025-03-24 20:02:11
65693,407341,181934,2025-03-24 20:03:45
65694,407341,181949,2025-03-24 20:03:56
65695,407340,181940,2025-03-24 20:04:06
65696,407342,181934,2025-03-24 20:04:08
65697,407343,181934,2025-03-24 20:06:50
65698,407342,181941,2025-03-24 20:04:18
65699,407344,181949,2025-03-24 20:04:34
65700,407345,181934,2025-03-24 20:07:44
65701,407346,181934,2025-03-24 20:08:37
65702,407347,181936,2025-03-24 20:09:12
65703,407348,181948,2025-03-24 20:09:34
65704,407333,181934,2025-03-24 20:17:29
65705,407348,181939,2025-03-24 20:10:34
65706,407348,181947,2025-03-24 20:10:43
65707,407333,181948,2025-03-24 20:10:55
65708,407349,181934,2025-03-24 20:12:54
65709,407350,181934,2025-03-24 20:13:28
65710,407349,181947,2025-03-24 20:15:32
65711,407351,181935,2025-03-24 20:14:27
65712,407349,181935,2025-03-24 20:14:51
65713,407349,181967,2025-03-24 20:15:04
65714,407349,181941,2025-03-24 20:15:04
65715,407350,181947,2025-03-24 20:19:10
65716,407352,181960,2025-03-24 20:15:47
65717,407350,181939,2025-03-24 20:16:10
65718,407350,181967,2025-03-24 20:16:35
65719,407350,181941,2025-03-24 20:16:36
65720,407351,181934,2025-03-24 20:16:40
65721,407350,181948,2025-03-24 20:16:47
65722,407333,181937,2025-03-24 20:17:38
65723,407284,181935,2025-03-24 20:19:34
65724,407284,181949,2025-03-24 20:20:16
65725,407353,181934,2025-03-24 20:20:52
65726,407353,181935,2025-03-24 20:21:47
65727,407284,181937,2025-03-24 20:22:32
65728,407354,181934,2025-03-24 20:24:54
65729,407355,181935,2025-03-24 20:25:29
65730,407356,181937,2025-03-24 20:27:09
65731,407357,181934,2025-03-24 20:27:50
65732,407357,181970,2025-03-24 20:27:51
65733,407357,181971,2025-03-24 20:27:51
65734,407357,181935,2025-03-24 20:27:58
65735,407357,181939,2025-03-24 20:28:36
65736,407358,181948,2025-03-24 20:29:37
65737,407358,181934,2025-03-24 20:31:01
65738,407359,181934,2025-03-24 20:33:16
65739,407360,181934,2025-03-24 20:35:11
65740,407360,181935,2025-03-24 20:36:53
65741,407361,181934,2025-03-24 20:35:46
65742,407362,181974,2025-03-24 20:36:14
65743,407360,181947,2025-03-24 20:36:42
65744,407362,181960,2025-03-24 20:37:22
65745,407358,181935,2025-03-24 20:37:39
65746,407362,181966,2025-03-24 20:37:41
65747,407361,181941,2025-03-24 20:37:56
65748,407358,181947,2025-03-24 20:37:58
65749,407361,181940,2025-03-24 20:38:45
65750,407362,181975,2025-03-24 20:39:50
65751,407363,181934,2025-03-24 20:39:51
65752,407361,181937,2025-03-24 20:40:16
65753,407362,181976,2025-03-24 20:41:15
65754,407364,181934,2025-03-24 20:43:29
65755,407365,181934,2025-03-24 20:44:38
65756,407322,181947,2025-03-24 20:47:20
65757,407358,181949,2025-03-24 20:50:10
65758,407366,181941,2025-03-24 20:50:45
65759,407367,181934,2025-03-24 20:51:59
65760,407367,181954,2025-03-24 20:52:01
65761,407368,181951,2025-03-24 20:53:38
65762,407358,181950,2025-03-24 20:54:27
65763,407358,181951,2025-03-24 21:06:22
65764,407369,181977,2025-03-24 21:11:50
65765,407369,181978,2025-03-24 21:11:51
65766,407370,181934,2025-03-24 20:59:07
65767,407371,181934,2025-03-24 21:00:50
65768,407371,181940,2025-03-24 21:00:58
65769,407369,181951,2025-03-24 21:00:59
65770,407369,181979,2025-03-24 21:01:01
65771,407369,181980,2025-03-24 21:01:02
65772,407372,181940,2025-03-24 21:02:09
65773,407369,181981,2025-03-24 21:12:05
65774,407369,181934,2025-03-24 21:38:00
65775,407369,181970,2025-03-24 21:38:02
65776,407369,181971,2025-03-24 21:38:02
65777,407358,181954,2025-03-24 21:06:14
65778,407358,181940,2025-03-24 21:06:26
65779,407373,181934,2025-03-24 21:09:01
65780,407369,181937,2025-03-24 21:09:14
65781,407369,181982,2025-03-24 21:09:15
65782,407369,181983,2025-03-24 21:09:16
65783,407374,181934,2025-03-24 21:10:09
65784,407374,181947,2025-03-24 21:10:23
65785,407369,181940,2025-03-24 21:11:49
65786,407369,181947,2025-03-24 21:26:46
65787,407369,181984,2025-03-24 21:26:43
65788,407369,181985,2025-03-24 21:26:43
65789,407369,181935,2025-03-24 21:12:03
65790,407369,181986,2025-03-24 21:12:04
65791,407369,181939,2025-03-24 21:12:28
65792,407369,181987,2025-03-24 21:12:29
65793,407369,181988,2025-03-24 21:12:30
65794,407375,181941,2025-03-24 21:13:54
65795,407369,181948,2025-03-24 21:20:22
65796,407369,181989,2025-03-24 21:20:23
65797,407369,181990,2025-03-24 21:20:24
65798,407376,181934,2025-03-24 21:24:09
65799,407376,181947,2025-03-24 21:24:42
65800,407376,181948,2025-03-24 21:25:06
65801,407376,181935,2025-03-24 21:25:32
65802,407369,181949,2025-03-24 21:26:47
65803,407369,181991,2025-03-24 21:26:49
65804,407369,181992,2025-03-24 21:26:49
65805,407377,181935,2025-03-24 21:27:35
65806,407378,181947,2025-03-24 21:27:59
65807,407182,181940,2025-03-24 21:30:06
65808,407379,181934,2025-03-24 21:32:10
65809,407149,181993,2025-03-24 21:35:06
65810,407149,181973,2025-03-24 21:35:07
65811,407380,181941,2025-03-24 21:35:09
65812,407381,181994,2025-03-24 21:35:27
65813,407382,181934,2025-03-24 21:36:32
65814,407383,181934,2025-03-24 21:38:08
65815,407384,181940,2025-03-24 21:39:23
65816,407385,181934,2025-03-24 21:39:35
65817,407385,181937,2025-03-24 21:39:37
65818,407386,181935,2025-03-24 21:40:49
65819,407386,181940,2025-03-24 21:40:59
65820,407386,181939,2025-03-24 21:41:07
65821,407387,181934,2025-03-24 21:46:00
65822,407387,181940,2025-03-24 21:47:10
65823,407387,181935,2025-03-24 21:46:42
65824,407388,181936,2025-03-24 21:48:08
65825,407388,181934,2025-03-24 21:48:11
65826,407388,181950,2025-03-24 21:48:12
65827,407389,181935,2025-03-24 21:49:14
65828,407389,181934,2025-03-24 21:49:31
65829,407389,181947,2025-03-24 21:50:42
65830,407390,181954,2025-03-24 21:51:04
65831,407389,181939,2025-03-24 21:52:14
65832,407391,181955,2025-03-24 22:00:58
65833,407392,181967,2025-03-24 22:03:20
65834,407392,181934,2025-03-24 22:06:03
65835,407393,181934,2025-03-24 22:13:49
65836,407393,181947,2025-03-24 22:15:28
65837,407394,181934,2025-03-24 22:16:55
65838,407395,181940,2025-03-24 22:20:26
65839,407395,181995,2025-03-24 22:20:57
65840,407394,181935,2025-03-24 22:21:35
65841,407394,181941,2025-03-24 22:22:11
65842,407346,181935,2025-03-24 22:27:22
65843,407346,181941,2025-03-24 22:27:10
65844,407346,181947,2025-03-24 22:27:22
65845,407346,181939,2025-03-24 22:27:24
65846,407396,181934,2025-03-24 22:33:09
65847,407397,181934,2025-03-24 22:33:56
65848,407397,181947,2025-03-24 22:34:42
65849,407397,181939,2025-03-24 22:34:57
65850,407398,181996,2025-03-24 22:39:34
65851,407399,181997,2025-03-24 22:39:37
65852,407399,181998,2025-03-24 22:39:39
65853,407399,181999,2025-03-24 22:39:41
65854,407399,182000,2025-03-24 22:39:43
65855,407399,182001,2025-03-24 22:39:45
65856,407399,182002,2025-03-24 22:39:46
65857,407399,182003,2025-03-24 22:39:48
65858,407399,182004,2025-03-24 22:39:50
